Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
4/22/22 1:03,4/23/22 0:10,UTC-05:00,4/22/22 1:03,4/22/22 10:13,97,16.8,503,546,176,132,195,43,520,35,92,FALSE
4/21/22 0:34,4/22/22 1:03,UTC-05:00,4/21/22 0:34,4/21/22 8:29,85,16.6,446,475,200,74,172,29,526,12,94,FALSE
4/19/22 23:52,4/21/22 0:34,UTC-05:00,4/19/22 23:52,4/20/22 8:36,96,16.5,488,517,230,84,174,29,510,26,94,FALSE
4/19/22 0:36,4/19/22 23:52,UTC-05:00,4/19/22 0:36,4/19/22 8:36,89,16.3,442,478,170,102,170,36,494,21,93,FALSE
4/8/22 0:32,4/9/22 0:32,UTC-05:00,4/8/22 11:36,4/8/22 12:43,10,17.3,50,67,30,6,14,17,497,21,78,TRUE
4/8/22 0:32,4/9/22 0:32,UTC-05:00,4/8/22 0:32,4/8/22 9:03,93,16,482,511,217,94,171,29,520,36,94,FALSE
4/7/22 0:55,4/8/22 0:32,UTC-05:00,4/7/22 0:55,4/7/22 8:43,88,16.8,437,464,203,87,147,27,499,24,94,FALSE
4/4/22 23:58,4/5/22 23:58,UTC-05:00,4/4/22 23:58,4/5/22 8:39,92,16.7,484,521,260,98,126,37,528,48,92,FALSE
4/3/22 0:00,4/4/22 0:00,UTC-05:00,4/3/22 0:00,4/3/22 8:19,84,16.6,454,499,268,65,121,45,540,42,90,FALSE
4/2/22 0:08,4/3/22 0:00,UTC-05:00,4/2/22 0:08,4/2/22 8:59,86,17,471,530,228,93,150,59,545,60,89,FALSE
4/1/22 0:07,4/2/22 0:08,UTC-05:00,4/1/22 0:07,4/1/22 8:39,80,17.1,461,512,229,101,131,51,573,94,90,FALSE
3/31/22 0:08,4/1/22 0:07,UTC-05:00,3/31/22 0:08,3/31/22 6:55,60,17.1,349,403,169,79,101,54,581,82,86,FALSE
3/30/22 2:05,3/31/22 0:08,UTC-05:00,3/30/22 2:05,3/30/22 8:38,65,16.7,337,392,168,71,98,55,518,36,86,FALSE
3/28/22 23:16,3/30/22 2:05,UTC-05:00,3/28/22 23:16,3/29/22 8:28,88,16.9,506,550,213,85,208,44,575,97,92,FALSE
3/28/22 1:41,3/28/22 23:16,UTC-05:00,3/28/22 1:41,3/28/22 8:16,59,16.2,343,392,124,87,132,49,580,68,88,FALSE
3/27/22 1:19,3/28/22 1:41,UTC-05:00,3/27/22 1:19,3/27/22 8:21,71,16.8,365,422,183,80,102,57,514,27,86,FALSE
3/26/22 0:35,3/27/22 1:19,UTC-05:00,3/26/22 0:35,3/26/22 9:10,91,16.4,454,515,192,94,168,61,496,15,88,FALSE
3/24/22 23:58,3/26/22 0:35,UTC-05:00,3/24/22 23:58,3/25/22 8:44,95,16.4,504,526,259,98,147,22,530,52,95,FALSE
3/24/22 0:45,3/24/22 23:58,UTC-05:00,3/24/22 0:45,3/24/22 8:28,78,16.4,421,462,221,99,101,41,537,33,91,FALSE
3/22/22 22:56,3/24/22 0:45,UTC-05:00,3/22/22 22:56,3/23/22 7:37,89,16.9,444,519,243,85,116,75,500,18,85,FALSE
3/21/22 23:08,3/22/22 22:56,UTC-05:00,3/21/22 23:08,3/22/22 8:39,94,16.4,501,571,201,90,210,70,532,45,88,FALSE
3/20/22 23:54,3/21/22 23:08,UTC-05:00,3/20/22 23:54,3/21/22 8:10,85,16,459,495,190,100,169,36,537,52,93,FALSE
3/20/22 1:25,3/20/22 23:54,UTC-05:00,3/20/22 1:25,3/20/22 8:58,78,16.8,419,452,208,76,135,33,540,66,93,FALSE
3/16/22 2:05,3/17/22 1:44,UTC-05:00,3/16/22 2:05,3/16/22 9:22,72,15.9,391,437,181,82,128,46,542,45,89,FALSE
3/15/22 1:44,3/16/22 2:05,UTC-05:00,3/15/22 1:44,3/15/22 10:09,85,15.8,459,501,184,121,154,42,544,63,92,FALSE
