Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
6/6/22 2:00,6/7/22 2:54,UTC-05:00,99,49,97,33.6,95.5,10.2,2498,148,65,6/6/22 2:00,6/6/22 11:44,100,16,535,581,241,89,205,46,518,42,92
6/5/22 1:25,6/6/22 2:00,UTC-05:00,89,54,75,33.5,96.25,4.8,2115,125,62,6/5/22 1:25,6/5/22 11:04,86,16.8,498,575,245,82,171,77,577,96,86
6/4/22 1:54,6/5/22 1:25,UTC-05:00,41,58,58,33,96.08,8.2,2215,158,67,6/4/22 1:54,6/4/22 8:10,59,17.6,347,375,186,51,110,28,593,106,92
6/3/22 4:53,6/4/22 1:54,UTC-05:00,57,55,66,33.34,98.08,10.6,2213,145,74,6/3/22 4:53,6/3/22 11:05,55,17.1,330,364,167,73,90,34,595,61,90
6/2/22 3:25,6/3/22 4:53,UTC-05:00,38,57,54,34.4,95.34,18.4,3834,182,79,6/2/22 3:25,6/2/22 11:24,74,17.1,389,479,149,82,158,90,528,33,81
6/1/22 1:09,6/2/22 3:25,UTC-05:00,55,55,63,34.72,94.73,12.4,2846,157,71,6/1/22 1:09,6/1/22 9:55,89,17.1,458,526,158,102,198,68,515,12,87
5/31/22 0:04,6/1/22 1:09,UTC-05:00,41,54,55,33.4,96.45,13.9,2947,165,74,5/31/22 0:04,5/31/22 9:20,96,16.5,508,557,196,128,184,49,529,39,91
5/30/22 0:27,5/31/22 0:04,UTC-05:00,60,52,69,33.9,95.47,11.4,2507,158,71,5/30/22 0:27,5/30/22 8:21,87,16.4,452,474,187,95,170,22,520,44,95
5/29/22 0:28,5/30/22 0:27,UTC-05:00,59,52,69,34.4,95.28,4.3,2036,113,63,5/29/22 0:28,5/29/22 8:18,81,15.5,437,469,170,84,183,32,538,44,93
5/28/22 2:21,5/29/22 0:28,UTC-05:00,71,50,75,33.34,97.76,12.2,2436,160,71,5/28/22 2:21,5/28/22 10:06,81,16.3,432,463,177,85,170,31,534,40,93
5/27/22 1:12,5/28/22 2:21,UTC-05:00,79,49,77,33.3,95.66,12.2,2735,154,68,5/27/22 1:12,5/27/22 8:21,83,15.5,385,429,152,89,144,44,466,56,89
5/26/22 0:08,5/27/22 1:12,UTC-05:00,52,53,65,32.9,97.07,4.6,2147,128,61,5/26/22 0:08,5/26/22 8:04,76,17.2,412,475,233,72,107,63,546,33,86
5/24/22 23:41,5/26/22 0:08,UTC-05:00,73,49,75,33.4,96.39,15.4,3059,181,70,5/24/22 23:41,5/25/22 8:18,86,16.3,452,516,219,101,132,64,528,44,89
5/24/22 1:51,5/24/22 23:41,UTC-05:00,80,51,77,33.8,96,9.3,2209,146,64,5/24/22 1:51,5/24/22 9:59,81,15.5,402,487,175,96,131,85,500,0,83
5/23/22 0:17,5/24/22 1:51,UTC-05:00,96,50,83,34,95.48,13.4,2871,189,66,5/23/22 0:17,5/23/22 9:54,100,15.8,531,574,209,113,209,43,506,27,92
