Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
1/23/22 23:11,1/25/22 0:03,UTC-06:00,1/24/22 9:01,1/24/22 10:01,60,Weightlifting,8.2,345,177,118,8,25,37,17,3,FALSE,,,
1/21/22 23:23,1/23/22 1:00,UTC-06:00,1/22/22 9:56,1/22/22 10:31,34,Weightlifting,5.8,155,151,112,9,47,30,12,0,FALSE,,,
1/20/22 23:27,1/21/22 23:23,UTC-06:00,1/21/22 12:24,1/21/22 13:48,83,Baseball,11.6,632,167,126,10,18,27,40,3,FALSE,,,
1/20/22 0:19,1/20/22 23:27,UTC-06:00,1/20/22 15:57,1/20/22 16:45,48,Baseball,10.5,406,171,129,17,13,8,41,17,FALSE,,,
1/20/22 0:19,1/20/22 23:27,UTC-06:00,1/20/22 12:06,1/20/22 12:41,35,Activity,8.5,275,169,141,0,1,13,51,8,FALSE,,,
1/18/22 23:54,1/20/22 0:19,UTC-06:00,1/19/22 15:59,1/19/22 18:11,131,Activity,13.1,828,179,125,4,21,31,23,8,FALSE,,,
1/17/22 0:39,1/18/22 0:30,UTC-06:00,1/17/22 10:56,1/17/22 12:29,92,Activity,9.2,490,149,118,1,31,52,5,0,FALSE,,,
1/17/22 0:39,1/18/22 0:30,UTC-06:00,1/17/22 9:27,1/17/22 10:39,72,Baseball,10.7,528,160,124,5,24,28,38,2,FALSE,,,
1/17/22 0:39,1/18/22 0:30,UTC-06:00,1/17/22 8:20,1/17/22 8:45,25,Functional Fitness,8.3,223,175,132,5,16,28,14,32,FALSE,,,
1/14/22 0:44,1/14/22 23:58,UTC-06:00,1/14/22 15:30,1/14/22 16:35,64,Baseball,12.3,644,162,139,0,3,26,65,4,FALSE,,,
1/14/22 0:44,1/14/22 23:58,UTC-06:00,1/14/22 9:10,1/14/22 10:00,49,Weightlifting,7.5,296,159,118,12,19,41,22,0,FALSE,,,
1/13/22 1:44,1/14/22 0:44,UTC-06:00,1/13/22 12:05,1/13/22 13:12,67,Weightlifting,9,414,159,120,6,28,34,24,0,FALSE,,,
1/11/22 23:36,1/13/22 1:44,UTC-06:00,1/12/22 15:33,1/12/22 16:56,83,Baseball,11.4,622,160,126,7,19,29,41,2,FALSE,,,
1/9/22 22:58,1/11/22 1:59,UTC-06:00,1/10/22 15:34,1/10/22 17:01,86,Baseball,12.5,728,158,130,2,15,29,51,0,FALSE,,,
1/9/22 22:58,1/11/22 1:59,UTC-06:00,1/10/22 9:00,1/10/22 10:00,60,Weightlifting,10.5,520,158,132,0,7,43,48,0,FALSE,,,
1/6/22 23:39,1/7/22 23:01,UTC-06:00,1/7/22 15:19,1/7/22 16:05,45,Baseball,9.3,382,170,130,2,11,38,38,5,FALSE,,,
11/18/21 21:02,11/19/21 21:02,UTC-06:00,11/19/21 6:17,11/19/21 7:47,90,Weightlifting,10,485,175,115,20,31,24,19,4,FALSE,,,
11/18/21 0:07,11/18/21 21:02,UTC-06:00,11/18/21 11:55,11/18/21 13:08,72,Weightlifting,11.4,584,172,130,3,16,36,36,8,FALSE,,,
11/14/21 23:26,11/15/21 23:15,UTC-06:00,11/15/21 9:01,11/15/21 10:04,63,Weightlifting,11.2,559,175,133,0,8,36,48,6,FALSE,,,
11/11/21 22:24,11/12/21 23:09,UTC-06:00,11/12/21 15:11,11/12/21 17:04,112,Baseball,12.6,801,167,123,6,25,37,27,2,FALSE,,,
11/11/21 22:24,11/12/21 23:09,UTC-06:00,11/12/21 5:28,11/12/21 7:00,91,Weightlifting,12.9,727,187,128,1,22,40,22,12,FALSE,,,
11/11/21 0:16,11/11/21 22:24,UTC-06:00,11/11/21 11:39,11/11/21 13:38,118,Weightlifting,11.6,735,167,119,4,32,46,15,1,FALSE,,,
11/10/21 0:05,11/11/21 0:16,UTC-06:00,11/10/21 11:15,11/10/21 12:10,54,Baseball,6,178,165,101,36,48,7,5,2,FALSE,,,
11/8/21 23:56,11/10/21 0:05,UTC-06:00,11/9/21 16:31,11/9/21 17:48,77,Baseball,12.5,606,206,127,2,22,43,23,3,FALSE,,,
11/8/21 23:56,11/10/21 0:05,UTC-06:00,11/9/21 11:59,11/9/21 12:42,42,Weightlifting,7.4,278,147,120,2,25,47,23,0,FALSE,,,
